Judge,Rejected,Accepted
В. Селіваненко,1,0
Воробйов В.Л.,1,0
О. В. Хлистуненко,1,0
В.В.Попов.,7,0
Є.В.Чаку,1,0
Є.В. Чаку,1,0
Є.В. Чаку,1,0
Н.Г. Гринь,11,0
Прасолов В.М.,1,0
О.М.  Кузьмишина,1,0
А.Ю. Кучма,1,0
В.М. Прасолов,1,0
Кусік І.В.,1,0
В.М.Бездідько,1,0
Кусік І.В.,2,0
Проценко,1,0
Л.Г. Салтан ,1,0
О.В. Дмитрюк,1,0
Логвіненко Т.Г.,1,0
Гуменний П.П.,1,0
О.В. Агєєв,2,0
З.А.Чевилюк ,1,0
Рябченко ,1,0
С.О. Іващенко,2,0
Ю. В. Дряниця,1,0
С.С. Шимків,5,0
В.І. Сіверін,4,0
Тарасова І.В.,1,0
І.О. Вечірко ,1,0
І.О. Вечірко,1,0
І.О. Вечірко,1,0
О.В. Ліпинський,1,0
Фартушок Т. Б. ,2,0
О.В. Цісельський ,1,0
І.А. Малярчук,1,0
В.Д. Ковальчук,1,0
В.В. Трещов,4,0
О.В.Ан,1,0
,19,0
Бідонько А.В. ,1,0
К.С. Пащенко,4,0
Кушнірчук Р.О.,2,0
А.А.Блохін,1,0
Зеліско Р. Й.,7,0
Г.В.Соловей,2,0
І.О. Притуляк ,1,0
Притуляк І.О.,2,0
Притуляк І.О.,1,0
І.А. Гончарова,1,0
О. М. Іванова,7,0
О. О. Дуда,1,0
О.В. Корман,1,0
С.С Шимків,1,0
Дорош В.В.,1,0
М.А.Яворський,1,0
Брагар В. С.,2,0
Кравчук Н.М.,1,0
Н.М. Принцевська,0,1
С.В.  Таран,1,0
Г.В. Орищин,2,0
Гудак А.В.,1,0
О.Г. Іванов,0,1
О.В. Федорова,4,0
Фартушок Т. Б.,2,0
Шульгач М.П.,32,0
: підпис А.А.Борцова,1,0
Д.А.Волошин,1,0
А.Ю. Кучма,3,0
В. С. Князєв,1,0
О.В. Бугера,1,0
Єжов В.А.,1,0
Г.Л. Карпушин,1,0
О.О. Панченко,2,0
П.С. Абрамов,1,0
П.С. Абрамов,1,0
В.М. Триголов,1,0
П.С. Абрамов,1,0
Г.Л. Карпушин,1,0
В.В.Нікітін,1,0
Ю.Р. Піх,1,0
В.О. Макаров,1,0
Н.М. Принцевська,1,0
Л. В. Лавриненко,1,0
Дужич С.П. ,3,0
О.Г. Іванов ,1,0
Л.М.Білецька,3,0
С.Г. Антонік,2,0
Шкурдова Л.М.,1,0
Л.Г. Пукшин,1,0
Е.В. Женеску,2,0
Е.В. Женеску,1,0
О.В. Єщенко,7,0
Усатий В.О.,3,0
Мацишин Л.С.,1,0
Зуб Г.А.,1,0
О.І.Баранов,2,0
ОСОБА_13,2,0
С.І. Бєдєлєв,1,0
Р.З. Голобутовський,1,0
Г.Б. Бучинська,1,0
Слободін М.М.,2,0
О.В.Чус,1,0
Колбасов Ф.Ф.,3,0
Н.А.Колодій,1,0
Грищенко Є.І.,1,0
В.Г. Тюлюнова,2,0
Р.В. Романчук,1,0
Д.В. Іванчулинець,1,0
Хрущ В.Л.,1,0
В.В. Матущак,1,0
Є.В. Чаку,2,0
Л.В. Ястребова,1,0
Є.В. Чаку,3,0
Р.О. Кушнірчук,1,0
Г.М. Міронова,1,0
Є.В. Чаку,2,0
Є.В.Чаку,2,0
І.М. Владимирська,1,0
С.О.Нікандрова,1,0
А.Ю. Кучма,2,0
Гоменюк З.П.,2,0
Кітаєва С.Б.,2,0
Кунцьо С.В.,5,0
Слободян Н.П.,1,0
С.Б. Бутенко,1,0
О.А. Лобов,2,0
О.В. Прядкіна,1,0
Л.І. Золотарьова,1,0
Г.Т. Кордюк,2,0
С. М. Бойко ,1,0
С.В. Барбашова ,1,0
Н. М. Пелипенко ,1,0
С.М. Морозов,1,0
Войтюк В.Р.,3,0
Д. О. Кухар,1,0
 Грещук Р.П.,1,0
ОСОБА_3   ,1,0
О.В. Головко ,4,3
Ю.В. Дурасова ,9,1
І.В. Геращенко ,1,0
Шурко О.І.,1,0
Л.В. Губська,1,0
Л.В. Бєлова,1,0
Церковна Н.Ф.,1,0
І. В. Яременко,1,0
А.В. Чалий,3,0
В.М.Бевзенко,1,0
 О.М. Герцов,1,0
Я.В.Губська,1,0
 Є.І. Яценко,1,0
: С.І. Мурашко,1,0
Продан Б.Г.,1,0
В. С. Князєв,2,0
Л. В. Лавриненко,1,0
Матвійчук В.В.,1,0
О.В. Рочняк,1,0
О.В.  Рочняк,1,0
С.П. Мельниченко ,1,0
Р.О. Кушнірчук,1,0
ОСОБА_1       ,1,0
Р.О. Кушнірчук ,1,0
І.Ю. Добродняк ,4,0
Григорович П.О.,1,0
Я.В. Семененко ,1,2
Т.С. Прокопчук ,3,0
Н.А. Бишевська ,3,0
Н.М. Судова-Хомюк,1,0
ОСОБА_12,1,0
І.Ю. Зейкан,1,0
О. Г. Деркач,1,0
М. Кравчук,1,0
С.В.Щербина,2,0
Н.В. Вінська,1,0
Г.М. Міронова,1,0
О.В. Єщенко,1,0
П'ятковський В. І.,1,0
В.Я.Погребняк,1,0
Кусік І.В.,1,0
Т.В.Одринська,1,0
С.М. Бойко,1,0
Л. В. Лавриненко,1,0
Ю.О. Підченко,1,0
Семенова Н. М.,4,0
Т.А. Ковальчук,1,0
А.В. Чалий,1,0
І. Г. Проскурняк,1,0
А.В.Трубніков,2,0
Крапівницька Н. Л.,1,0
Курбанова А.Р.»,1,0
І.В. Юрко,1,0
Г.А. Жук ,22,6
О.М. Коротун ,2,0
Агрикова,1,0
Зубець,5,0
О.М. Остапенко ,1,0
А.О. Мальченко ,5,0
Буравльов ,6,0
Руденко ,10,0
А.І. Тищенко ,1,0
Мартюк ,2,0
Б.М. Грек ,5,0
Б.В. Отрюх ,1,0
Дідиченко ,1,1
М.І. Хабіб,1,0
Сулім ,2,0
Ю.Л. Власов ,1,0
Н.М. Клименчук,1,0
В.В. Іванов,1,0
Ткаченко Н.Г.,1,0
Галушко Н.А.,1,0
А.С. Мазур,1,0
С.В. Лівінський,2,0
Л. В. Байцар,4,0
Яновська,1,0
=АЛЄЙНІКОВ В.О.=,2,0
В. О. Мальований,1,0
Роман Васильович Шимчик,5,0
Л.А. Божко ,2,1
